0. Zeile und 0.Spalte, Wert:31698.598882264014
0. Zeile und 1.Spalte, Wert:31095.350683893677
0. Zeile und 2.Spalte, Wert:31951.97705823723
0. Zeile und 3.Spalte, Wert:31815.81254322835
0. Zeile und 4.Spalte, Wert:32122.556583979982
0. Zeile und 5.Spalte, Wert:31637.63481495077
0. Zeile und 6.Spalte, Wert:31843.578369235718
0. Zeile und 7.Spalte, Wert:31615.73690480926
0. Zeile und 8.Spalte, Wert:31940.32755595801
0. Zeile und 9.Spalte, Wert:31731.917144730953
0. Zeile und 10.Spalte, Wert:31935.431443298177
0. Zeile und 11.Spalte, Wert:31789.502769761384
0. Zeile und 12.Spalte, Wert:31745.38829185959
0. Zeile und 13.Spalte, Wert:32019.5106541512
0. Zeile und 14.Spalte, Wert:31985.299989588042
0. Zeile und 15.Spalte, Wert:32201.60299211703
0. Zeile und 16.Spalte, Wert:31943.496876827383
0. Zeile und 17.Spalte, Wert:31693.044843873282
0. Zeile und 18.Spalte, Wert:32021.486667129404
0. Zeile und 19.Spalte, Wert:31705.302597617294
0. Zeile und 20.Spalte, Wert:33615.65033460519
0. Zeile und 21.Spalte, Wert:31652.594263797764
0. Zeile und 22.Spalte, Wert:31809.307206728125
0. Zeile und 23.Spalte, Wert:31909.685952888965
0. Zeile und 24.Spalte, Wert:31858.33748512208
0. Zeile und 25.Spalte, Wert:32022.473824330504
0. Zeile und 26.Spalte, Wert:32003.598115009143
0. Zeile und 27.Spalte, Wert:31898.62223103003
0. Zeile und 28.Spalte, Wert:32123.10550986655
0. Zeile und 29.Spalte, Wert:31726.08046653698
0. Zeile und 30.Spalte, Wert:32211.044339944994
0. Zeile und 31.Spalte, Wert:32194.46076180123
0. Zeile und 32.Spalte, Wert:32216.701497425467
0. Zeile und 33.Spalte, Wert:32161.91345265014
0. Zeile und 34.Spalte, Wert:32148.017012252232
0. Zeile und 35.Spalte, Wert:32203.78967722256
0. Zeile und 36.Spalte, Wert:31958.556597108094
0. Zeile und 37.Spalte, Wert:32224.54165415262
0. Zeile und 38.Spalte, Wert:32016.252119889305
0. Zeile und 39.Spalte, Wert:32195.094062345408
0. Zeile und 40.Spalte, Wert:31694.758497162486
0. Zeile und 41.Spalte, Wert:31677.608039428276
0. Zeile und 42.Spalte, Wert:32163.52733588254
0. Zeile und 43.Spalte, Wert:31557.18981745749
0. Zeile und 44.Spalte, Wert:32161.620312571886
0. Zeile und 45.Spalte, Wert:31646.21309131861
0. Zeile und 46.Spalte, Wert:31626.50767021115
0. Zeile und 47.Spalte, Wert:31649.716233331586
0. Zeile und 48.Spalte, Wert:31852.203304432373
0. Zeile und 49.Spalte, Wert:32223.013193418214
0. Zeile und 50.Spalte, Wert:31640.22127398445
0. Zeile und 51.Spalte, Wert:31710.046826907223
0. Zeile und 52.Spalte, Wert:31938.56534217722
0. Zeile und 53.Spalte, Wert:31921.72685678558
0. Zeile und 54.Spalte, Wert:31608.970166410047
0. Zeile und 55.Spalte, Wert:31880.39982112714
0. Zeile und 56.Spalte, Wert:31632.693494860374
0. Zeile und 57.Spalte, Wert:31962.989971053492
0. Zeile und 58.Spalte, Wert:32147.453943832796
0. Zeile und 59.Spalte, Wert:31673.132566266435
0. Zeile und 60.Spalte, Wert:31834.994543935773
0. Zeile und 61.Spalte, Wert:31672.41242881652
0. Zeile und 62.Spalte, Wert:31826.710349462184
0. Zeile und 63.Spalte, Wert:31656.53821596329
0. Zeile und 64.Spalte, Wert:31971.352794814655
0. Zeile und 65.Spalte, Wert:31964.317739427446
0. Zeile und 66.Spalte, Wert:31998.478610674014
0. Zeile und 67.Spalte, Wert:31862.803528985398
0. Zeile und 68.Spalte, Wert:32325.79056524318
0. Zeile und 69.Spalte, Wert:32091.756717105818
0. Zeile und 70.Spalte, Wert:32057.765908457524
0. Zeile und 71.Spalte, Wert:31694.928033721815
0. Zeile und 72.Spalte, Wert:31738.61305015176
0. Zeile und 73.Spalte, Wert:31768.55720118551
