0. Zeile und 0.Spalte, Wert:5422.751548849531
0. Zeile und 1.Spalte, Wert:13838.448430360851
0. Zeile und 2.Spalte, Wert:0.0
0. Zeile und 3.Spalte, Wert:253.27012944159867
0. Zeile und 4.Spalte, Wert:0.0
0. Zeile und 5.Spalte, Wert:3372.223995591078
0. Zeile und 6.Spalte, Wert:21559.662546209456
0. Zeile und 7.Spalte, Wert:6913.756255118663
0. Zeile und 8.Spalte, Wert:12030.50072159947
0. Zeile und 9.Spalte, Wert:6517.54537012601
0. Zeile und 10.Spalte, Wert:7310.877434810765
0. Zeile und 11.Spalte, Wert:0.0
0. Zeile und 12.Spalte, Wert:0.0
0. Zeile und 13.Spalte, Wert:7918.6240946248545
0. Zeile und 14.Spalte, Wert:6734.111186811965
0. Zeile und 15.Spalte, Wert:10605.515418570441
0. Zeile und 16.Spalte, Wert:344.27097513754745
0. Zeile und 17.Spalte, Wert:0.0
0. Zeile und 18.Spalte, Wert:0.0
0. Zeile und 19.Spalte, Wert:0.0
0. Zeile und 20.Spalte, Wert:4806.766247276376
0. Zeile und 21.Spalte, Wert:0.0
0. Zeile und 22.Spalte, Wert:6135.693365809438
0. Zeile und 23.Spalte, Wert:16191.342159538395
0. Zeile und 24.Spalte, Wert:2456.3730406446966
0. Zeile und 25.Spalte, Wert:1223.3385975462054
0. Zeile und 26.Spalte, Wert:3430.463373601651
0. Zeile und 27.Spalte, Wert:5905.969178802414
0. Zeile und 28.Spalte, Wert:0.0
0. Zeile und 29.Spalte, Wert:7129.071608010393
0. Zeile und 30.Spalte, Wert:1836.6211899960783
0. Zeile und 31.Spalte, Wert:2732.4635421594303
0. Zeile und 32.Spalte, Wert:16791.019445586397
0. Zeile und 33.Spalte, Wert:182.46085208171746
0. Zeile und 34.Spalte, Wert:7402.377011421466
0. Zeile und 35.Spalte, Wert:165531.73481031434
0. Zeile und 36.Spalte, Wert:8544.220854427334
0. Zeile und 37.Spalte, Wert:8939.641487266905
0. Zeile und 38.Spalte, Wert:0.0
0. Zeile und 39.Spalte, Wert:20692.51431377302
0. Zeile und 40.Spalte, Wert:7390.4996972377085
0. Zeile und 41.Spalte, Wert:8047.121974941107
0. Zeile und 42.Spalte, Wert:0.0
0. Zeile und 43.Spalte, Wert:0.0
0. Zeile und 44.Spalte, Wert:0.0
0. Zeile und 45.Spalte, Wert:0.0
0. Zeile und 46.Spalte, Wert:12887.433069203715
0. Zeile und 47.Spalte, Wert:0.0
0. Zeile und 48.Spalte, Wert:13968.845379408376
0. Zeile und 49.Spalte, Wert:6923.590961610346
0. Zeile und 50.Spalte, Wert:0.0
0. Zeile und 51.Spalte, Wert:1568.111910401358
0. Zeile und 52.Spalte, Wert:2776.712613570274
0. Zeile und 53.Spalte, Wert:7927.331568419913
0. Zeile und 54.Spalte, Wert:0.0
0. Zeile und 55.Spalte, Wert:1633.4423170063712
0. Zeile und 56.Spalte, Wert:799.2808800200289
0. Zeile und 57.Spalte, Wert:7429.543127754016
0. Zeile und 58.Spalte, Wert:2842.020964334663
0. Zeile und 59.Spalte, Wert:2216.099933702169
0. Zeile und 60.Spalte, Wert:0.0
0. Zeile und 61.Spalte, Wert:7101.659369508797
0. Zeile und 62.Spalte, Wert:0.0
0. Zeile und 63.Spalte, Wert:20582.141360432484
0. Zeile und 64.Spalte, Wert:7408.32192217623
0. Zeile und 65.Spalte, Wert:6718.5484647062995
0. Zeile und 66.Spalte, Wert:774.6932654341924
0. Zeile und 67.Spalte, Wert:4173.575692854941
0. Zeile und 68.Spalte, Wert:7435.860300671929
0. Zeile und 69.Spalte, Wert:8358.148520400855
0. Zeile und 70.Spalte, Wert:0.0
0. Zeile und 71.Spalte, Wert:324.21580493477074
0. Zeile und 72.Spalte, Wert:6534.019447367559
0. Zeile und 73.Spalte, Wert:6734.71771783144
0. Zeile und 74.Spalte, Wert:10907.608332653224
0. Zeile und 75.Spalte, Wert:7584.907577787281
0. Zeile und 76.Spalte, Wert:0.0
0. Zeile und 77.Spalte, Wert:7206.0956696244
0. Zeile und 78.Spalte, Wert:14209.797550727122
