2019-07-22 09:39:38,941 AWT-EventQueue-0 WARN  server.ContinuousCompetitionSubjectMatcherQuadropoly - loop index of subjectGroups 0
2019-07-22 09:39:38,953 AWT-EventQueue-0 WARN  server.ContinuousCompetitionSubjectMatcherQuadropoly - loop index of subjectGroups 0
2019-07-22 09:42:34,932 PeriodThread INFO  server.ContinuousCompetitionInstitution - Started ContinuousCompetitionInstitution for cohort 3 with diffParam = 0.6666666666666666
2019-07-22 09:42:34,933 PeriodThread WARN  server.ContinuousCompetitionInstitution - startPeriod() - start of execution
2019-07-22 09:42:34,934 PeriodThread INFO  server.ContinuousCompetitionInstitution - Initialized practice round action data.
2019-07-22 09:42:34,937 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 0.0, aFirmB: 0.0, aFirmC: 0.0, aFirmD: 0.0, aMarket: 0.0.
2019-07-22 09:42:34,938 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 33.333333333333336, oFirmB: 33.333333333333336, oFirmC: 33.333333333333336, oFirmD: 33.333333333333336.
2019-07-22 09:42:34,938 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 0.0, profitFirmB: 0.0, profitFirmC: 0.0, profitFirmD: 0.0
2019-07-22 09:42:34,939 PeriodThread INFO  server.ContinuousCompetitionInstitution - Action variables before initial market update: aFirmA: 0.0, aFirmB: 0.0, aFirmC: 0.0, aFirmD: 0.0.
2019-07-22 09:42:34,939 PeriodThread INFO  server.ContinuousCompetitionInstitution - Profit variables before initial market update: profitFirmA: 0.0, profitFirmB: 0.0, profitFirmC: 0.0, profitFirmD: 0.0
2019-07-22 09:42:34,939 PeriodThread INFO  server.ContinuousCompetitionInstitution - Balance variables before initial market update: balanceFirmA: 0.0, balanceFirmB: 0.0, balanceFirmC: 0.0, balanceFirmD: 0.0
2019-07-22 09:42:46,399 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 1 (client client1). MembershipCount is set to 4.
